                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.96269,                0.59246,                 1.2689,                0.83159,                0.82679,                0.85531,                0.57022,                 1.3045,                0.79214,                 1.5486,             0.00061491,             0.00061491,             0.00061491
                     53,                0.95094,                0.58572,                 1.2747,                0.88767,                  0.795,                0.86344,                0.56828,                 1.2621,                0.74619,                 1.5083,             0.00059429,             0.00059429,             0.00059429
                     54,                0.94912,                0.57908,                 1.2574,                0.84215,                0.82699,                0.85759,                0.55909,                 1.2819,                0.75541,                 1.5022,             0.00057366,             0.00057366,             0.00057366
                     55,                0.94532,                0.56963,                 1.2486,                0.88144,                0.81486,                0.86044,                0.57265,                 1.2555,                0.73196,                 1.4933,             0.00055303,             0.00055303,             0.00055303
                     56,                 0.9275,                0.56579,                  1.272,                0.87915,                0.78796,                0.85348,                0.57122,                 1.2305,                0.74471,                 1.4747,              0.0005324,              0.0005324,              0.0005324
                     57,                0.92765,                0.55986,                 1.2444,                0.85922,                0.82641,                 0.8481,                0.56235,                  1.249,                0.74906,                 1.5012,             0.00051177,             0.00051177,             0.00051177
                     58,                0.94142,                0.57399,                 1.2591,                0.88495,                0.80414,                0.86285,                0.57481,                 1.2516,                0.72918,                 1.5217,             0.00049114,             0.00049114,             0.00049114
                     59,                0.89584,                0.54193,                 1.2224,                0.86805,                0.80261,                0.85136,                0.57285,                 1.2422,                0.74616,                 1.4901,             0.00047051,             0.00047051,             0.00047051
                     60,                0.91412,                0.56473,                 1.2446,                 0.8486,                0.82005,                0.85153,                0.56279,                 1.2418,                0.75485,                  1.489,             0.00044988,             0.00044988,             0.00044988
                     61,                 0.9161,                 0.5658,                 1.2371,                0.85147,                 0.8002,                0.84734,                0.56128,                 1.2376,                0.74502,                 1.4925,             0.00042925,             0.00042925,             0.00042925
                     62,                0.92706,                0.56201,                 1.2528,                 0.8813,                0.81319,                0.85676,                0.57907,                 1.2337,                0.74187,                 1.4911,             0.00040862,             0.00040862,             0.00040862
                     63,                0.88524,                0.52786,                  1.228,                0.88463,                0.80174,                0.85522,                0.56903,                 1.2405,                0.73314,                 1.4915,             0.00038799,             0.00038799,             0.00038799
                     64,                0.91327,                0.53451,                 1.2357,                0.89014,                 0.8071,                0.85892,                0.56758,                 1.2544,                0.74368,                 1.5117,             0.00036737,             0.00036737,             0.00036737
